"distance","Altitude","color_packed","intensity","Classification","coords"
"1503.5","1029.2790","135 128 110","105","6","2553415.593937 1216093.939219"
"1503.5","1029.2790","135 128 110","105","6","2553415.593617 1216093.939219"
"1504.52","1028.0650","102 93 82","121","6","2553417.767617 1216094.472219"
"1506.38","1025.2650","217 216 190","81","6","2553416.938617 1216091.299219"
"1508.19","1028.0990","118 109 90","197","6","2553421.259617 1216092.647219"
"1509.99","1025.2580","209 206 180","187","6","2553420.458617 1216089.577219"
"1512.16","1028.0900","89 89 82","246","6","2553423.191617 1216089.060219"
"1512.68","1026.3570","135 131 116","188","6","2553421.127937 1216086.601219"
"1512.68","1026.3570","135 131 116","188","6","2553421.127617 1216086.601219"
"1514","1025.3220","147 143 117","193","6","2553422.450617 1216085.989219"
"1514.24","1011.4680","161 155 128","140","2","2553422.540617 1216085.753219"
"1516.01","1028.1180","210 205 181","136","6","2553426.662617 1216086.979219"
"1517.7","1011.4820","119 110 97","6","7","2553427.122617 1216085.145219"
"1517.82","1011.3740","167 160 132","202","2","2553423.991937 1216082.277219"
"1518.17","1011.3620","163 156 129","39","2","2553424.080617 1216081.885219"
"1522.01","1011.3090","120 114 95","203","2","2553427.538617 1216079.803219"
"1522.51","1011.3810","162 155 130","127","2","2553430.980617 1216082.121219"
"1526.42","1011.2370","166 157 129","233","2","2553432.282617 1216078.076219"
"1526.45","1011.1410","135 127 103","245","2","2553429.321617 1216075.476219"
"1528.26","1011.1590","139 132 108","72","2","2553431.0649369997 1216074.591219"
"1528.26","1011.1590","139 132 108","72","2","2553431.064617 1216074.591219"
"1530.33","1011.0910","105 98 83","146","2","2553435.228617 1216075.448219"
"1530.41","1011.0970","92 88 74","214","7","2553431.932617 1216072.495219"
"1531.41","1026.4060","97 91 82","195","5","2553435.127937 1216073.936219"
"1531.41","1026.4060","97 91 82","195","5","2553435.127617 1216073.936219"
"1531.91","1025.0840","86 81 72","241","5","2553435.592617 1216073.681219"
"1533.51","1027.6610","73 68 54","229","5","2553434.026617 1216070.212219"
"1533.71","1013.5260","82 75 60","121","4","2553434.109617 1216070.023219"
"1534.19","1018.2030","97 89 75","184","5","2553435.846937 1216070.882219"
"1534.19","1018.2030","97 89 75","184","5","2553435.846617 1216070.882219"
"1534.31","1011.1070","108 102 85","121","2","2553437.810617 1216072.428219"
"1535.08","1030.1030","127 119 94","146","5","2553437.310617 1216070.979219"
"1536.62","1011.1170","108 99 81","113","2","2553436.810617 1216068.506219"
"1536.75","1020.0740","146 138 115","134","5","2553438.688617 1216069.952219"
"1537.3","1024.1960","124 116 93","47","5","2553438.816617 1216069.343219"
"1537.35","1011.0950","104 98 79","45","2","2553436.9939369997 1216067.696219"
"1537.35","1011.0950","104 98 79","45","2","2553436.993617 1216067.696219"
"1538.63","1028.0270","98 91 69","196","5","2553440.111617 1216068.706219"
"1538.73","1015.1410","117 109 86","22","5","2553439.197617 1216067.779219"
"1539.5","1029.8520","114 105 84","13","5","2553439.9829369998 1216067.446219"
"1539.5","1029.8520","114 105 84","13","5","2553439.982617 1216067.446219"
"1539.54","1020.4290","118 111 84","120","5","2553438.160617 1216065.817219"
"1539.84","1011.1870","110 101 87","74","3","2553440.759617 1216067.668219"
"1540.99","1018.2950","113 108 87","135","5","2553441.685617 1216066.945219"
"1541.36","1024.9330","106 100 77","230","5","2553441.765617 1216066.523219"
"1541.5","1027.7760","130 124 97","35","5","2553439.585617 1216064.452219"
"1542.4","1011.0830","121 115 87","10","3","2553440.131617 1216063.733219"
"1544.43","1011.0300","127 121 92","3","2","2553444.526617 1216064.854219"
"1545.01","1015.0390","124 118 92","214","5","2553445.310617 1216064.766219"
"1545.4","1022.8580","126 121 94","109","5","2553446.063617 1216064.905219"
"1546.51","1010.6550","145 136 103","40","2","2553442.441617 1216060.306219"
"1551.26","1010.8570","75 73 61","159","2","2553449.205617 1216059.870219"
"1555.82","1011.1210","54 56 61","134","2","2553450.359617 1216054.837219"
"1558.41","1011.2160","78 79 81","208","2","2553454.2329369998 1216054.767219"
"1558.41","1011.2160","78 79 81","208","2","2553454.232617 1216054.767219"
"1558.74","1011.2220","76 77 78","95","2","2553454.316617 1216054.405219"
"1559.44","1014.2760","182 168 130","213","6","2553452.898617 1216052.253219"
"1561.62","1011.2140","70 70 70","108","2","2553455.350937 1216051.490219"
"1562.28","1011.1890","80 80 72","70","2","2553455.213617 1216050.502219"
"1564.04","1030.3970","79 80 77","12","6","2553457.608617 1216050.236219"
"1564.37","1030.4350","82 82 81","148","6","2553457.691937 1216049.873219"
"1564.45","1030.3830","84 85 82","63","6","2553458.0709369997 1216050.101219"
"1564.45","1030.3830","84 85 82","63","6","2553458.070617 1216050.101219"
"1565.44","1018.5340","97 93 62","188","5","2553455.0369369998 1216046.169219"
"1565.44","1018.5340","97 93 62","188","5","2553455.036617 1216046.169219"
"1565.72","1014.9820","99 98 61","37","5","2553455.412617 1216046.124219"
"1565.81","1011.1690","83 86 49","212","2","2553456.108617 1216046.611219"
"1566.07","1011.1610","82 80 77","213","2","2553457.5169369997 1216047.473219"
"1566.07","1011.1610","82 80 77","213","2","2553457.516617 1216047.473219"
"1568.04","1030.3820","83 84 81","7","6","2553459.677617 1216046.739219"
"1569.92","1011.1410","62 67 45","143","2","2553458.492617 1216043.229219"
"1571.65","1030.3740","147 141 116","44","6","2553462.542937 1216044.446219"
"1571.98","1030.3820","147 141 114","137","6","2553462.626617 1216044.084219"
"1572.34","1030.4020","145 140 116","195","6","2553462.7179369996 1216043.689219"
"1572.34","1030.4020","145 140 116","195","6","2553462.717617 1216043.689219"
"1572.88","1011.1890","79 78 75","78","2","2553462.589617 1216042.867219"
"1573.54","1020.2910","82 85 82","105","22","2553463.0479369997 1216042.392219"
"1573.54","1020.2910","82 85 82","105","22","2553463.047617 1216042.392219"
"1573.77","1017.5540","84 86 84","162","22","2553463.114617 1216042.138219"
"1575.59","1011.0900","90 90 55","31","2","2553461.643617 1216038.462219"
"1575.96","1025.9400","84 83 80","225","22","2553464.205617 1216040.182219"
"1576.01","1030.3890","90 90 88","219","6","2553464.725617 1216040.577219"
"1578.69","1020.3140","79 78 75","202","22","2553465.696617 1216037.864219"
"1578.74","1011.1700","73 73 70","126","2","2553465.201937 1216037.371219"
"1578.74","1011.1700","73 73 70","126","2","2553465.201617 1216037.372219"
"1578.77","1011.1650","78 78 75","38","2","2553465.475617 1216037.564219"
"1579.64","1025.8330","77 77 75","31","22","2553466.1619369998 1216037.010219"
"1579.64","1025.8330","77 77 75","31","22","2553466.161617 1216037.010219"
"1579.98","1030.3920","89 93 91","125","6","2553466.818617 1216037.137219"
"1580.32","1025.9110","72 74 73","31","22","2553466.605617 1216036.495219"
"1582.29","1011.1790","113 110 96","151","2","2553466.367617 1216033.692219"
"1583.31","1030.3480","149 143 120","144","6","2553470.839617 1216036.209219"
"1583.88","1030.3920","80 79 75","44","6","2553468.126617 1216033.111219"
"1586.16","1030.3950","75 78 75","182","6","2553469.3149369997 1216031.122219"
"1586.16","1030.3950","75 78 75","182","6","2553469.314617 1216031.122219"
"1586.97","1030.4150","77 76 78","119","6","2553469.892937 1216030.544219"
"1587.38","1030.3510","149 141 118","175","6","2553473.293617 1216032.945219"
"1587.84","1030.4210","79 77 71","143","6","2553470.492617 1216029.915219"
"1591.6","1030.3660","142 134 110","101","6","2553476.271617 1216029.949219"
"1591.78","1030.4010","149 141 116","119","6","2553473.339617 1216027.172219"
"1591.97","1030.4110","144 138 114","125","6","2553473.046617 1216026.669219"
"1594.02","1030.4140","94 92 85","200","6","2553474.2499369998 1216025.000219"
"1594.02","1030.4140","94 92 85","200","6","2553474.249617 1216025.000219"
"1594.8","1030.3660","158 150 126","38","6","2553477.421617 1216026.710219"
"1595.62","1030.3960","150 145 119","25","6","2553476.025937 1216024.413219"
"1595.62","1030.3340","152 145 119","156","6","2553478.904617 1216026.905219"
"1595.85","1030.3820","95 96 77","39","6","2553475.097617 1216023.307219"
"1595.91","1014.7280","87 89 56","169","4","2553474.864617 1216023.030219"
"1598.59","1030.4010","147 141 117","119","6","2553479.014617 1216023.071219"
"1600.72","1012.7270","80 82 47","199","2","2553478.026617 1216019.409219"
"1601.45","1012.9950","58 56 27","237","2","2553481.429617 1216021.378219"
"1607.65","1013.8030","80 83 44","12","2","2553485.059937 1216016.331219"
"1607.65","1013.8030","80 83 44","12","2","2553485.059617 1216016.331219"
"1608.18","1013.8860","82 85 45","0","2","2553485.785617 1216016.253219"
"1611.72","1014.3610","79 82 41","181","2","2553485.756617 1216011.547219"
"1611.95","1014.4280","85 88 46","218","2","2553488.995617 1216014.037219"
"1615.4","1014.9670","87 90 50","68","2","2553489.574617 1216009.983219"
"1618.6","1017.2560","92 92 61","130","4","2553492.307617 1216008.115219"
"1619.5","1015.5300","53 55 42","37","2","2553490.296617 1216005.193219"
"1622.72","1015.9520","85 84 42","44","2","2553495.9199369997 1216005.790219"
"1622.72","1015.9520","85 84 42","44","2","2553495.919617 1216005.791219"
"1623.14","1015.9050","93 93 54","6","2","2553493.810617 1216003.416219"
"1625.57","1016.2180","95 94 52","112","2","2553498.075617 1216003.889219"
"1627.16","1016.1300","104 95 70","195","2","2553495.7889369996 1215999.811219"
"1628.04","1016.2560","110 101 74","195","2","2553497.290617 1215999.939219"
"1629.03","1016.4950","91 88 58","106","2","2553498.619937 1215999.788219"
"1631.09","1016.7990","146 140 114","58","2","2553501.225617 1215999.311219"
"1632","1016.4870","84 78 69","64","2","2553498.674617 1215995.902219"
"1632.92","1022.8960","88 86 67","58","22","2553499.268617 1215995.206219"
"1635.19","1034.4820","141 134 110","101","6","2553500.509617 1215993.274219"
"1635.22","1017.2130","127 120 97","82","2","2553504.094617 1215996.338219"
"1636.02","1016.7800","141 134 112","175","2","2553501.492617 1215993.024219"
"1638.42","1024.4030","84 83 52","255","5","2553505.4599369997 1215993.280219"
"1638.42","1024.4030","84 83 52","255","5","2553505.459617 1215993.280219"
"1638.48","1021.6610","88 88 53","171","5","2553504.927617 1215992.747219"
"1638.95","1016.9420","145 140 116","187","2","2553502.9029369997 1215990.375219"
"1638.95","1016.9420","145 140 116","187","2","2553502.902617 1215990.375219"
"1639.12","1017.6220","85 85 51","188","3","2553505.361617 1215992.277219"
"1639.89","1025.8040","83 80 50","159","5","2553507.239617 1215992.885219"
"1642.33","1023.3020","127 120 96","37","5","2553507.254617 1215989.669219"
"1642.38","1018.1760","145 137 113","179","7","2553509.188617 1215991.277219"
"1642.6","1018.2770","97 95 64","206","3","2553506.001617 1215988.226219"
"1645.95","1018.2540","120 114 94","215","7","2553510.114617 1215987.362219"
"1646.6","1018.2730","149 143 120","203","7","2553509.593937 1215986.047219"
"1646.6","1018.2730","149 143 120","203","7","2553509.593617 1215986.047219"
"1649.98","1018.3720","186 181 165","20","7","2553512.182617 1215983.824219"
"1654.09","1018.6120","123 117 97","60","7","2553515.236617 1215981.024219"
"1654.42","1018.6530","126 119 102","29","7","2553514.6699369997 1215980.098219"
"1654.42","1018.6530","126 119 102","29","7","2553514.669617 1215980.098219"
"1655.47","1028.9610","112 104 90","152","14","2553516.201937 1215980.041219"
"1655.47","1028.9610","112 104 90","152","14","2553516.201617 1215980.041219"
"1655.58","1028.9490","113 105 88","239","14","2553516.552617 1215980.199219"
"1655.59","1022.0390","101 98 85","70","14","2553517.634617 1215981.109219"
"1658.14","1019.0740","164 155 134","45","7","2553517.858617 1215977.943219"
"1662.35","1019.3570","125 120 107","129","7","2553520.245617 1215974.432219"
"1666.32","1019.5800","110 108 99","0","7","2553523.302617 1215971.831219"
"1666.38","1019.6450","110 108 99","5","7","2553523.931617 1215972.291219"
"1670.21","1019.5340","123 119 108","186","7","2553523.978937 1215967.274219"
"1670.21","1019.5340","123 119 108","186","7","2553523.979617 1215967.274219"
"1670.35","1019.8320","115 113 105","30","7","2553526.891617 1215969.608219"
"1670.57","1019.5110","123 118 107","43","7","2553524.073617 1215966.878219"
"1671.22","1019.4390","127 123 106","48","7","2553523.884617 1215965.855219"
"1674.32","1019.8570","129 126 109","97","7","2553530.230617 1215967.243219"
"1674.6","1019.7280","99 94 82","183","7","2553527.346617 1215964.385219"
"1677.94","1019.9720","72 72 71","238","2","2553530.4939369997 1215962.682219"
"1677.94","1019.9720","72 72 71","238","2","2553530.4946169998 1215962.682219"
"1678.61","1020.3000","60 60 59","77","2","2553530.6706169997 1215961.953219"
"1679.29","1024.4910","67 67 66","109","3","2553531.889617 1215962.115219"
"1683.01","1023.7370","80 71 51","233","3","2553535.306617 1215960.152219"
"1683.82","1025.2760","89 86 68","244","3","2553532.712617 1215956.831219"
"1686.76","1026.7570","84 78 53","20","3","2553536.286617 1215956.037219"
"1690.43","1027.4410","78 80 44","68","3","2553539.573617 1215954.027219"
"1692.49","1027.4330","74 77 37","0","3","2553538.144937 1215950.068219"
"1692.54","1027.4570","85 88 47","68","3","2553538.463617 1215950.284219"
"1696.72","1027.6520","86 87 43","218","3","2553541.573617 1215947.446219"
"1696.8","1027.7560","91 91 47","162","3","2553544.6559369997 1215950.007219"
"1696.82","1027.7580","94 95 52","37","3","2553544.997617 1215950.270219"
"1698.26","1027.7100","90 90 46","81","3","2553542.9569369997 1215946.601219"
"1698.26","1027.7100","90 90 46","81","3","2553542.9576169997 1215946.601219"
"1700.76","1027.9150","86 86 48","225","3","2553547.371617 1215947.115219"
"1700.86","1027.8370","90 89 49","94","3","2553544.363617 1215944.375219"
"1704.93","1027.8860","91 87 50","169","3","2553546.803617 1215941.108219"
"1705.03","1028.6950","176 169 138","6","3","2553550.090617 1215943.821219"
"1706.31","1027.8990","93 88 53","206","3","2553548.2069369997 1215940.503219"
"1706.31","1027.8990","93 88 53","206","3","2553548.2076169997 1215940.503219"
"1708.9","1027.9080","77 74 47","144","3","2553548.892617 1215937.672219"
"1708.91","1029.3340","106 94 78","150","3","2553552.406617 1215940.686219"
"1712.51","1029.7550","89 86 75","106","2","2553551.462617 1215935.118219"
"1713.24","1031.5400","78 76 65","17","4","2553552.9109369996 1215935.412219"
"1713.24","1031.5400","78 76 65","17","4","2553552.911617 1215935.412219"
"1713.49","1032.4110","83 80 69","183","4","2553554.337617 1215936.311219"
"1716.48","1030.2570","135 133 114","141","7","2553553.775617 1215931.872219"
"1716.76","1030.2840","129 125 105","246","7","2553556.9576169997 1215934.250219"
"1720.56","1030.2030","133 130 113","253","7","2553558.6536169997 1215930.699219"
"1720.73","1030.2160","90 89 79","207","3","2553556.2609369997 1215928.402219"
"1720.73","1030.2160","90 89 79","207","3","2553556.2616169997 1215928.402219"
"1723.79","1032.7410","98 93 76","122","4","2553560.809617 1215928.291219"
"1724.46","1030.4920","99 93 74","86","3","2553561.3259369996 1215927.853219"
"1724.62","1030.5170","109 104 79","242","3","2553560.0709369997 1215926.550219"
"1727.44","1030.7570","54 52 46","245","2","2553563.056617 1215925.402219"
"1728.53","1030.9300","89 90 53","18","3","2553562.7119369996 1215923.666219"
"1728.53","1030.9300","89 90 53","18","3","2553562.712617 1215923.666219"
"1730.09","1033.6610","113 109 97","39","6","2553564.721617 1215923.348219"
"1730.2","1031.1760","106 105 68","180","3","2553562.519617 1215921.291219"
"1732.43","1036.4460","54 57 55","104","6","2553567.3836169997 1215922.554219"
"1733.37","1031.4090","43 48 43","44","2","2553566.917617 1215920.899219"
"1733.76","1036.7280","47 51 47","11","6","2553567.3769369996 1215920.784219"
"1733.76","1036.7280","47 51 47","11","6","2553567.377617 1215920.784219"
"1735.18","1034.4260","42 45 46","129","22","2553566.777617 1215918.389219"
"1736.11","1037.7050","95 92 84","28","6","2553570.056617 1215919.997219"
"1737.62","1038.3680","87 85 78","123","6","2553571.7549369996 1215919.463219"
"1737.76","1037.3820","93 93 86","255","6","2553568.4406169998 1215916.422219"
"1741.47","1038.7870","96 93 87","135","6","2553571.8156169998 1215914.436219"
"1743.77","1033.8150","56 52 50","232","22","2553573.056617 1215912.466219"
"1744.36","1038.9910","55 54 52","221","6","2553572.2549369996 1215910.990219"
"1744.36","1038.9910","55 54 52","221","6","2553572.255617 1215910.990219"
"1745.64","1040.6230","89 84 78","11","6","2553576.897617 1215913.314219"
"1749.02","1033.0810","95 91 86","82","3","2553575.803617 1215907.895219"
"1749.99","1039.3240","89 84 79","153","6","2553579.801617 1215910.074219"
"1750.03","1033.0580","89 84 79","97","2","2553579.875617 1215910.088219"
"1750.56","1036.3660","94 89 87","50","22","2553578.054617 1215907.811219"
"1751.5","1045.5840","95 91 86","165","5","2553580.1906169998 1215908.412219"
"1752.81","1041.2080","102 96 88","102","5","2553579.8866169997 1215906.416219"
"1753.06","1033.4870","98 92 63","225","3","2553578.556617 1215904.936219"
"1753.1","1039.3610","79 74 65","230","5","2553581.2919369997 1215907.253219"
"1753.1","1039.3610","79 74 65","230","5","2553581.292617 1215907.253219"
"1754.6","1033.6990","71 67 50","218","3","2553582.701617 1215906.487219"
"1755.37","1043.8660","90 84 69","148","5","2553582.8836169997 1215905.622219"
"1756.85","1034.1510","80 74 53","6","3","2553581.652617 1215902.608219"
"1757.8","1034.6130","87 78 63","163","3","2553581.2379369996 1215900.990219"
"1757.8","1034.6130","87 78 63","163","3","2553581.238617 1215900.990219"
"1758.76","1047.6610","97 86 69","214","5","2553581.460617 1215899.919219"
"1758.9","1034.7280","89 81 61","169","3","2553583.8519369997 1215901.794219"
"1760.38","1035.4500","90 82 64","194","3","2553585.2076169997 1215901.017219"
"1761.74","1040.9300","79 73 55","235","5","2553583.911617 1215898.095219"
"1762.5","1049.0100","111 106 86","92","5","2553585.0819369997 1215898.104219"
"1762.5","1049.0100","111 106 86","92","5","2553585.0826169997 1215898.105219"
"1762.85","1049.0950","114 109 93","33","5","2553585.176617 1215897.723219"
"1763.56","1035.9480","107 102 89","92","7","2553585.397617 1215896.976219"
"1765.19","1035.6830","114 110 97","86","7","2553589.2076169997 1215898.115219"
"1765.79","1035.9050","119 115 100","253","7","2553587.995937 1215896.277219"
"1765.79","1035.9050","119 115 100","253","7","2553587.996617 1215896.277219"
"1767.57","1041.8830","108 105 90","103","5","2553587.465617 1215893.456219"
"1768.08","1036.1240","90 87 77","209","7","2553588.965617 1215894.088219"
"1769.54","1042.3580","68 65 45","173","5","2553592.299937 1215895.034219"
"1769.54","1042.3580","68 65 45","173","5","2553592.300617 1215895.034219"
"1770.91","1039.3820","76 73 52","67","4","2553590.3836169997 1215891.564219"
"1771.4","1041.9010","59 56 48","69","5","2553593.769617 1215893.851219"
"1771.4","1043.9880","105 101 82","247","5","2553590.8526169998 1215891.328219"
"1771.53","1036.3570","104 97 73","138","3","2553593.161617 1215893.145219"
"1774.71","1040.8700","68 65 52","76","4","2553591.749617 1215887.730219"
"1774.92","1037.6800","123 114 102","212","3","2553593.755617 1215889.186219"
"1777.08","1043.4780","86 75 62","190","5","2553595.585617 1215887.909219"
"1778.52","1038.5370","87 79 62","144","2","2553597.5626169997 1215887.720219"
"1780.2","1039.8610","72 70 60","107","3","2553596.142617 1215884.260219"
"1780.83","1043.8620","76 74 63","96","5","2553596.590617 1215883.824219"
"1782.35","1039.9290","62 62 54","36","2","2553598.9339369996 1215883.835219"
"1782.35","1039.9290","62 62 54","36","2","2553598.934617 1215883.835219"
"1783.8","1040.0080","74 74 61","21","3","2553601.588617 1215884.216219"
"1784.17","1041.4010","71 72 58","249","3","2553599.076617 1215881.551219"
"1784.19","1040.1120","55 56 49","189","3","2553602.0529369996 1215884.101219"
"1784.21","1045.1130","42 44 47","67","5","2553600.076617 1215882.365219"
"1788.12","1041.5990","74 77 62","56","2","2553604.0656169998 1215880.652219"
"1788.43","1044.7750","32 32 32","15","4","2553602.516617 1215878.892219"
"1790.53","1046.9810","39 42 45","38","5","2553605.0449369997 1215878.304219"
"1790.53","1046.9810","39 42 45","38","5","2553605.0456169997 1215878.304219"
"1790.68","1048.8690","37 40 45","88","5","2553605.081617 1215878.135219"
"1791.95","1047.9530","113 115 99","164","6","2553603.147617 1215874.787219"
"1792.21","1043.4680","56 57 48","140","3","2553606.769617 1215877.581219"
"1794.33","1047.4030","79 81 62","84","22","2553607.3326169997 1215875.257219"
"1796.77","1044.0450","54 57 53","170","2","2553609.249617 1215873.689219"
"1796.81","1048.0130","81 87 56","134","6","2553606.392617 1215871.172219"
"1798.9","1044.4880","69 70 50","69","3","2553607.931617 1215869.733219"
"1799.2","1047.4440","58 57 52","183","5","2553611.150617 1215872.122219"
"1801.03","1048.8960","72 74 63","87","5","2553611.3179369997 1215869.848219"
"1801.03","1048.8960","72 74 63","87","5","2553611.318617 1215869.848219"
"1802.42","1045.0550","125 131 124","66","2","2553611.701617 1215868.341219"
"1802.98","1049.4500","73 69 63","246","5","2553614.139617 1215869.713219"
"1804","1056.3140","86 81 76","174","5","2553614.718617 1215868.858219"
"1804.53","1047.9680","68 67 60","195","6","2553611.6706169997 1215865.524219"
"1804.67","1052.1330","103 104 96","190","5","2553612.948617 1215866.453219"
"1805.85","1056.2660","84 84 73","164","5","2553613.2579369997 1215865.162219"
"1805.85","1056.2660","84 84 73","164","5","2553613.2586169997 1215865.162219"
"1806.5","1059.0730","88 81 74","209","5","2553615.0656169998 1215865.862219"
"1806.94","1045.1760","76 69 62","88","3","2553615.536617 1215865.689219"
"1807.25","1052.2280","88 79 71","199","5","2553616.911617 1215866.470219"
"1807.47","1055.3190","86 80 74","222","5","2553615.025617 1215864.547219"
"1808.12","1049.3080","84 79 70","208","5","2553615.215617 1215863.848219"
"1808.26","1062.4880","105 101 91","22","5","2553614.872617 1215863.362219"
"1809.72","1061.8560","67 58 52","136","5","2553618.8149369997 1215864.845219"
"1809.72","1061.8560","67 58 52","136","5","2553618.8156169998 1215864.845219"
"1809.9","1045.5540","104 99 78","25","3","2553615.002617 1215861.311219"
"1810.02","1057.8310","97 93 72","171","5","2553615.357617 1215861.456219"
"1810.44","1057.9590","67 59 51","240","5","2553618.7246169997 1215863.818219"
"1810.78","1053.8490","64 57 43","11","5","2553618.823617 1215863.456219"
"1811.09","1052.8370","93 90 64","85","5","2553615.656617 1215860.304219"
"1811.19","1045.3410","75 69 54","14","2","2553618.661617 1215862.770219"
"1811.4","1050.7020","105 98 79","218","5","2553618.0389369996 1215861.949219"
"1811.4","1050.7020","105 98 79","218","5","2553618.039617 1215861.949219"
"1811.71","1061.4930","93 88 71","2","5","2553618.4406169998 1215861.885219"
"1812.05","1050.1280","98 94 75","170","5","2553618.559617 1215861.541219"
"1812.77","1063.6260","91 85 56","221","5","2553618.3769369996 1215860.436219"
"1813.97","1058.5550","160 154 138","171","5","2553618.713617 1215859.145219"
"1814.98","1055.6610","149 143 129","49","5","2553621.462617 1215860.179219"
"1815.12","1053.2410","133 125 109","144","5","2553618.735617 1215857.632219"
"1815.14","1059.3740","132 127 109","77","5","2553618.4139369996 1215857.335219"
"1815.14","1059.3740","132 127 109","77","5","2553618.414617 1215857.335219"
"1815.78","1046.2470","141 136 122","247","7","2553621.405617 1215859.074219"
"1815.94","1051.2320","127 119 106","172","5","2553622.394617 1215859.716219"
"1816.33","1045.9030","161 159 138","113","7","2553618.767617 1215856.071219"
"1817.63","1056.8320","145 141 123","192","5","2553620.739617 1215856.057219"
"1819.65","1046.3600","149 142 127","153","7","2553624.726617 1215856.828219"
"1820.11","1046.0990","126 125 106","55","7","2553621.988617 1215853.855219"
"1823.59","1046.4580","86 87 66","195","7","2553625.792617 1215852.537219"
"1823.75","1051.3980","103 105 95","159","14","2553626.460617 1215852.909219"
"1825.76","1048.6830","212 213 187","92","23","2553625.357617 1215849.304219"
"1826.67","1048.8240","71 70 49","243","2","2553628.934617 1215851.186219"
"1828.72","1052.3680","85 82 57","182","4","2553630.147617 1215849.520219"
"1829.48","1049.9910","76 77 47","37","3","2553627.377617 1215846.122219"
"1832.73","1051.1870","96 94 63","31","2","2553632.250617 1215846.044219"
"1832.88","1055.8080","83 82 56","17","5","2553630.948617 1215844.720219"
"1833.24","1055.4350","89 89 58","28","5","2553630.3519369997 1215843.723219"
"1833.24","1055.4350","89 89 58","28","5","2553630.3526169998 1215843.723219"
"1833.48","1060.1850","74 71 42","104","5","2553632.050617 1215844.885219"
"1836.48","1053.1310","91 86 66","21","4","2553632.2416169997 1215841.081219"
"1836.89","1051.2540","135 126 104","251","3","2553635.284617 1215843.172219"
"1839.1","1054.1040","106 101 68","215","4","2553638.159617 1215842.726219"
"1840.22","1052.1700","80 74 50","170","3","2553636.1839369996 1215839.540219"
"1840.22","1052.1700","80 74 50","170","3","2553636.184617 1215839.541219"
"1840.63","1052.2760","59 59 39","138","3","2553634.985617 1215837.963219"
"1842.99","1052.3200","94 90 54","194","2","2553638.911617 1215838.236219"
"1845.06","1052.7610","90 87 50","88","3","2553640.4139369996 1215836.797219"
"1846.68","1053.0550","92 87 53","112","3","2553642.1536169997 1215836.162219"
"1847.88","1053.4150","87 87 45","150","3","2553640.2319369996 1215832.919219"
"1847.88","1053.4150","87 87 45","150","3","2553640.232617 1215832.919219"
"1848.6","1053.5740","96 97 54","137","3","2553640.428617 1215832.135219"
"1852.47","1054.1910","93 89 52","44","3","2553644.039617 1215830.142219"
"1853.14","1056.9940","96 92 57","153","4","2553647.085617 1215831.892219"
"1855.29","1054.7790","88 86 49","31","3","2553646.7039369997 1215828.719219"
"1855.29","1054.7790","88 86 49","31","3","2553646.7046169997 1215828.720219"
"1856.85","1055.0330","87 85 50","25","3","2553649.392617 1215828.973219"
"1859.12","1055.5400","96 92 57","0","3","2553648.408617 1215825.122219"
"1862.94","1056.3740","47 50 44","131","2","2553650.7446169998 1215822.101219"
"1865.97","1057.9880","48 50 44","118","2","2553654.167617 1215821.057219"
"1868.47","1066.0950","88 89 92","58","6","2553653.1729369997 1215816.889219"
"1868.47","1066.0950","88 89 92","58","6","2553653.1736169998 1215816.889219"
"1868.51","1066.1150","82 84 88","200","6","2553653.5419369997 1215817.159219"
"1868.67","1059.3770","79 82 86","126","3","2553653.911617 1215817.267219"
"1868.81","1066.3700","89 90 94","115","6","2553653.625617 1215816.824219"
"1869.64","1058.9730","84 86 89","69","2","2553656.4599369997 1215818.182219"
"1869.64","1058.9730","84 86 89","69","2","2553656.460617 1215818.182219"
"1870.27","1063.1180","85 86 90","87","22","2553656.286617 1215817.196219"
"1870.88","1059.1510","93 93 97","245","3","2553658.122617 1215817.980219"
"1871.53","1066.8950","93 94 98","120","6","2553657.5796169997 1215816.649219"
"1875.4","1067.4550","197 197 193","53","6","2553658.985617 1215812.747219"
"1876.74","1066.3860","70 67 52","178","6","2553662.635617 1215814.135219"
"1877.18","1059.9930","87 85 57","144","3","2553663.0679369997 1215813.926219"
"1877.18","1059.9930","87 85 57","144","3","2553663.068617 1215813.926219"
"1878.36","1060.2290","66 63 45","241","2","2553663.3866169997 1215812.645219"
"1879.55","1067.1700","87 88 93","223","6","2553662.090617 1215809.946219"
"1882.44","1060.6680","107 106 82","112","3","2553665.1536169997 1215808.784219"
"1883.18","1066.2950","130 126 100","22","6","2553665.656617 1215808.240219"
"1886.3","1061.4330","157 151 127","152","2","2553668.4946169998 1215806.564219"
"1887.65","1061.2480","163 156 136","40","2","2553666.570617 1215803.111219"
"1891.04","1061.5640","136 128 108","98","7","2553670.431617 1215801.970219"
"1895","1061.7180","161 152 134","228","7","2553673.096617 1215799.041219"
"1895.11","1061.7060","159 151 133","146","7","2553670.887937 1215796.990219"
"1895.11","1061.7060","159 151 133","146","7","2553670.888617 1215796.990219"
"1898.79","1061.8680","157 147 129","209","7","2553676.6876169997 1215797.142219"
"1899.66","1061.8790","60 57 54","175","3","2553674.363617 1215793.980219"
"1902.81","1061.9570","144 134 121","96","7","2553678.746617 1215793.601219"
"1903.18","1062.0890","103 89 80","45","2","2553676.0019369996 1215790.747219"
