"distance","altitude","color_packed","intensity","classification","coords"
"0.07","498.8690","140 156 160","178","31","2561699.0810000002 1205312.278"
"0.11","498.8840","167 187 188","11","31","2561699.787 1205312.5590000001"
"0.48","498.8760","150 166 170","147","2","2561700.7550000004 1205312.592"
"0.64","498.8830","73 89 115","230","2","2561701.253 1205312.633"
"0.64","498.8830","73 89 115","230","2","2561701.253 1205312.633"
"0.98","498.8810","77 97 129","26","31","2561700.3510000003 1205311.854"
"1","498.8120","140 158 166","159","31","2561698.413 1205310.959"
"1","498.8120","140 158 166","159","31","2561698.413 1205310.959"
"1","498.8680","73 94 126","219","31","2561700.52 1205311.908"
"1.11","498.8400","149 167 172","162","2","2561699.9740000004 1205311.547"
"1.21","498.8340","150 169 173","150","31","2561699.265 1205311.114"
"1.21","498.8330","150 169 173","150","31","2561699.265 1205311.114"
"1.3","498.9010","78 99 123","138","31","2561701.233 1205311.908"
"1.59","498.8090","151 168 172","189","2","2561699.142 1205310.638"
"1.6","498.8520","65 87 119","15","2","2561701.041 1205311.489"
"1.6","498.8520","65 87 119","15","2","2561701.041 1205311.489"
"1.63","498.8290","157 173 184","136","31","2561698.7780000004 1205310.432"
"2.05","498.9340","100 113 136","119","31","2561698.7610000004 1205309.962"
"2.24","498.9880","107 122 135","99","31","2561701.035 1205310.777"
"2.24","498.9870","107 122 135","99","31","2561701.034 1205310.776"
"2.25","498.9490","105 120 132","52","18","2561699.8660000004 1205310.246"
"2.26","498.9940","61 78 105","152","31","2561701.9080000003 1205311.155"
"2.81","498.9800","125 139 149","197","18","2561699.3340000003 1205309.388"
"2.82","498.9990","54 70 99","196","31","2561702.3830000004 1205310.753"
"3.07","499.0400","56 76 110","203","31","2561701.719 1205310.182"
"3.13","498.9880","88 105 134","157","3","2561700.1610000003 1205309.408"
"3.13","498.9870","88 105 134","157","3","2561700.1610000003 1205309.408"
"3.26","498.9900","112 127 136","101","3","2561699.523 1205308.979"
"3.27","499.0230","60 79 112","234","31","2561701.105 1205309.678"
"3.6","500.2340","192 208 199","104","1","2561699.5280000004 1205308.611"
"3.66","499.0500","102 125 155","112","3","2561701.7950000004 1205309.572"
"3.69","499.1860","248 255 255","210","4","2561700.852 1205309.109"
"3.7","499.2110","187 205 200","139","4","2561700.091 1205308.758"
"3.71","500.1650","99 113 124","49","1","2561700.4030000004 1205308.884"
"3.71","499.0450","75 95 120","105","3","2561702.858 1205309.9980000001"
"3.74","499.1870","83 98 112","182","4","2561699.291 1205308.347"
"3.74","499.1870","83 98 112","182","4","2561699.291 1205308.347"
"3.75","499.0430","90 111 144","208","3","2561702.656 1205309.864"
