"distance","altitude","color_packed","intensity","classification","coords"
"3.76","500.1220","210 234 239","163","1","2561701.4340000004 1205309.293"
"3.8","500.2670","102 114 125","201","1","2561701.004 1205309.055"
"3.8","500.2670","102 114 125","201","1","2561701.004 1205309.055"
"3.8","498.9990","131 138 133","153","4","2561700.291 1205308.732"
"3.81","500.2160","101 117 136","236","1","2561701.818 1205309.408"
"3.82","498.5810","249 252 245","41","3","2561700.727 1205308.905"
"3.83","499.2760","56 75 107","99","4","2561702.2550000004 1205309.584"
"3.88","498.1260","215 222 201","164","2","2561699.3860000004 1205308.239"
"3.91","498.0570","245 255 239","135","2","2561700.325 1205308.631"
"3.91","500.2850","70 86 108","127","1","2561702.4680000003 1205309.597"
"3.95","499.3120","45 67 99","37","4","2561702.8310000002 1205309.722"
"3.99","498.2630","51 60 68","37","31","2561701.1100000003 1205308.894"
"4","498.0660","230 240 235","155","2","2561701.308 1205308.979"
"4.03","498.0300","146 159 153","245","2","2561700.1300000004 1205308.408"
"4.03","498.0300","146 159 153","245","2","2561700.1300000004 1205308.408"
"4.09","499.2300","48 64 97","203","4","2561701.4220000003 1205308.928"
"4.21","498.1620","53 71 101","12","3","2561703.044 1205309.529"
"4.21","498.1620","53 71 101","12","3","2561703.044 1205309.53"
"4.31","499.3650","49 60 75","207","4","2561700.642 1205308.337"
"4.35","498.8040","49 64 83","186","4","2561701.3830000004 1205308.6230000001"
"4.35","497.9850","68 87 114","45","18","2561702.6330000004 1205309.1840000001"
"4.36","496.1180","202 209 199","33","2","2561699.8830000004 1205307.938"
"4.36","496.1180","202 209 199","33","2","2561699.8830000004 1205307.938"
"4.41","497.8020","48 58 73","78","3","2561700.679 1205308.236"
"4.42","497.0260","168 157 147","78","2","2561701.7860000003 1205308.724"
"4.47","497.9150","54 73 103","77","3","2561703.1410000003 1205309.29"
"4.55","495.7450","46 56 70","141","31","2561700.7320000003 1205308.106"
"4.55","495.7440","46 56 70","141","31","2561700.7320000003 1205308.1060000001"
"4.58","497.3260","58 71 93","71","3","2561700.449 1205307.947"
"4.6","497.1750","65 75 95","83","3","2561700.3460000004 1205307.884"
"4.64","496.1630","199 208 199","96","3","2561699.994 1205307.6770000001"
"4.64","497.2920","90 104 128","136","3","2561700.2660000003 1205307.797"
"4.64","497.7970","54 74 107","77","3","2561701.801 1205308.491"
"4.65","497.2670","54 69 98","164","3","2561701.6530000004 1205308.415"
"4.65","497.2670","54 69 98","164","3","2561701.6530000004 1205308.415"
"4.65","498.7100","249 252 253","209","4","2561700.4710000004 1205307.886"
"4.67","499.0060","105 119 117","2","3","2561700.034 1205307.661"
"4.67","499.0060","105 119 117","2","3","2561700.034 1205307.661"
"4.68","497.9770","77 88 104","94","3","2561700.2800000003 1205307.761"
"4.69","495.9540","179 201 190","8","31","2561699.69 1205307.482"
"4.71","495.7670","57 69 82","213","2","2561701.5080000004 1205308.283"
"4.74","497.1980","45 64 96","195","3","2561702.9510000004 1205308.901"
"4.74","497.1980","45 64 96","195","3","2561702.9510000004 1205308.901"
"4.78","499.7780","77 82 91","127","4","2561701.4000000004 1205308.164"
"4.79","498.9970","236 248 245","255","3","2561701.298 1205308.1"
"4.79","498.9970","236 248 245","255","3","2561701.298 1205308.1"
"4.84","496.1680","221 242 243","5","3","2561701.29 1205308.047"
"4.84","496.1380","43 62 94","10","31","2561703.146 1205308.884"
"4.97","498.9750","186 185 177","87","3","2561702.0050000004 1205308.222"
"4.97","498.9750","186 185 177","87","3","2561702.0050000004 1205308.222"
"5.06","495.9420","30 41 57","71","2","2561702.2690000003 1205308.242"
"5.08","495.9450","41 60 92","233","2","2561703.352 1205308.712"
"5.2","496.3120","48 67 101","184","3","2561702.281 1205308.094"
"5.21","498.9880","249 254 254","255","3","2561700.7520000003 1205307.395"
"5.21","498.9870","249 254 254","255","3","2561700.7520000003 1205307.394"
"5.27","497.5380","255 255 255","215","4","2561700.8290000004 1205307.361"
"5.33","497.7520","255 255 255","60","4","2561700.6580000003 1205307.219"
"5.33","497.7520","255 255 255","60","4","2561700.6580000003 1205307.219"
"5.33","496.8230","206 215 216","218","4","2561700.913 1205307.334"
"5.33","498.1140","253 252 252","80","4","2561701.213 1205307.469"
"5.34","497.1890","235 233 228","56","4","2561701.855 1205307.7480000001"
"5.41","499.0140","45 58 84","11","3","2561701.429 1205307.475"
"5.42","496.2010","173 194 185","171","3","2561701.665 1205307.577"
"5.45","499.0020","38 47 63","13","3","2561702.065 1205307.722"
"5.53","496.3140","54 67 87","214","3","2561702.413 1205307.8"
"5.55","495.9690","43 66 101","24","18","2561703.2490000003 1205308.148"
"5.55","495.9690","43 66 101","24","18","2561703.2490000003 1205308.148"
"5.58","495.9490","74 82 91","49","2","2561701.844 1205307.4810000001"
"5.58","495.9490","74 82 91","49","2","2561701.844 1205307.481"
"5.77","495.9600","83 102 96","18","2","2561700.531 1205306.675"
"5.9","495.9420","50 72 107","210","31","2561703.0050000004 1205307.658"
"5.95","509.6530","168 159 167","84","6","2561703.074 1205307.636"
"5.95","509.6530","168 159 167","84","6","2561703.074 1205307.636"
"6.01","495.9370","61 76 92","12","31","2561701.575 1205306.893"
"6.01","495.9390","51 66 94","40","2","2561702.2830000003 1205307.214"
"6.07","505.8170","177 201 211","129","22","2561702.609 1205307.293"
"6.07","503.5900","167 193 206","25","22","2561702.6130000004 1205307.293"
"6.07","505.8160","177 201 211","129","22","2561702.609 1205307.293"
"6.07","503.5900","167 193 206","25","22","2561702.6130000004 1205307.293"
"6.07","499.6030","144 171 192","35","22","2561702.619 1205307.296"
"6.07","501.1020","119 141 160","245","22","2561702.656 1205307.317"
"6.07","502.7750","165 191 205","238","22","2561702.6130000004 1205307.295"
"6.08","497.3760","86 112 146","195","22","2561702.628 1205307.285"
"6.08","498.8210","129 155 179","220","22","2561702.835 1205307.381"
"6.08","504.4120","164 190 204","155","22","2561702.615 1205307.286"
"6.09","504.7680","194 220 229","235","22","2561702.679 1205307.296"
"6.1","500.3570","152 179 196","70","22","2561702.629 1205307.269"
"6.1","506.5450","244 254 255","217","6","2561702.622 1205307.259"
"6.11","498.1840","150 179 195","101","22","2561703.159 1205307.493"
"6.11","498.1840","150 179 195","101","22","2561703.159 1205307.493"
"6.11","496.1990","116 137 160","194","3","2561702.7770000002 1205307.327"
"6.12","500.0730","175 201 217","81","22","2561702.7860000003 1205307.315"
"6.14","499.0490","136 163 186","142","22","2561703.602 1205307.66"
"6.14","508.6070","87 84 103","167","22","2561703.3320000004 1205307.539"
"6.14","499.0490","136 163 186","142","22","2561703.602 1205307.66"
"6.14","508.6070","87 84 103","167","22","2561703.3320000004 1205307.539"
"6.14","500.9800","157 183 201","223","22","2561703.3430000003 1205307.547"
"6.14","507.0490","240 235 225","238","6","2561702.815 1205307.31"
"6.14","507.8160","88 87 110","117","22","2561703.3340000003 1205307.539"
"6.15","506.1790","170 196 209","77","22","2561703.159 1205307.455"
"6.15","506.1790","170 196 209","77","22","2561703.159 1205307.455"
"6.15","496.7030","72 99 132","39","22","2561703.6070000003 1205307.658"
"6.15","503.3500","202 227 234","119","22","2561702.8030000003 1205307.286"
"6.16","502.2900","164 190 205","167","22","2561703.821 1205307.736"
"6.16","505.3980","174 201 212","52","22","2561703.815 1205307.732"
"6.16","502.2900","164 190 205","167","22","2561703.821 1205307.736"
"6.16","505.3980","174 201 212","52","22","2561703.815 1205307.732"
"6.16","501.5900","158 184 200","54","22","2561703.1700000004 1205307.447"
"6.16","503.8740","166 192 205","29","22","2561703.166 1205307.448"
"6.17","497.5380","155 183 199","0","22","2561703.318 1205307.496"
"6.18","499.8480","156 182 200","223","22","2561703.2490000003 1205307.462"
"6.18","503.1140","160 186 202","49","22","2561703.825 1205307.719"
"6.19","497.5260","86 117 149","36","22","2561703.622 1205307.621"
"6.19","497.5260","86 117 149","36","22","2561703.622 1205307.621"
"6.19","499.3740","169 198 210","228","22","2561703.497 1205307.56"
"6.19","504.6890","169 196 208","224","22","2561703.4200000004 1205307.53"
"6.19","509.2400","170 159 164","133","22","2561703.821 1205307.705"
"6.2","496.0700","103 128 152","148","2","2561703.79 1205307.6840000001"
"6.2","502.4770","165 190 205","186","22","2561703.429 1205307.523"
"6.2","507.0570","180 175 171","122","22","2561703.8400000003 1205307.709"
"6.2","496.0700","103 128 152","148","2","2561703.79 1205307.6840000001"
"6.2","502.4770","165 190 205","186","22","2561703.429 1205307.523"
"6.2","507.0570","180 175 171","122","22","2561703.8400000003 1205307.709"
"6.2","498.2930","121 147 173","239","22","2561703.842 1205307.7010000001"
"6.2","500.0310","178 206 216","162","22","2561703.7950000004 1205307.685"
"6.2","508.1980","92 87 107","199","22","2561703.608 1205307.601"
"6.21","505.4100","170 197 209","80","22","2561703.443 1205307.513"
"6.22","507.0620","241 251 252","1","6","2561702.6670000004 1205307.153"
"6.25","504.6620","166 193 206","199","22","2561703.8570000003 1205307.658"
"6.29","506.1750","128 145 159","140","22","2561703.896 1205307.626"
"6.45","507.0490","64 84 100","55","6","2561702.6240000003 1205306.884"
"6.64","495.9490","203 199 191","183","31","2561702.383 1205306.557"
"6.64","495.9480","203 199 191","183","31","2561702.383 1205306.557"
"6.64","495.9820","87 107 100","136","31","2561700.6330000004 1205305.769"
"6.65","509.8520","156 138 129","179","6","2561703.2070000004 1205306.925"
"6.7","507.1020","115 116 129","255","6","2561703.3770000003 1205306.942"
"6.73","498.0670","153 180 200","178","22","2561702.858 1205306.675"
"6.74","501.1370","169 194 207","25","22","2561702.8630000004 1205306.668"
"6.74","501.1360","169 194 207","25","22","2561702.8630000004 1205306.668"
"6.88","495.9460","79 96 84","124","2","2561701.844 1205306.053"
"7.01","495.9510","129 155 180","9","2","2561702.9960000003 1205306.437"
"7.02","499.1960","161 187 202","100","22","2561702.9740000004 1205306.415"
"7.02","499.1960","161 187 202","100","22","2561702.9740000004 1205306.415"
"7.02","496.8200","148 175 196","131","22","2561702.9740000004 1205306.4170000001"
"7.03","500.5830","171 196 208","131","22","2561702.983 1205306.408"
"7.03","502.1720","174 199 210","56","22","2561702.9850000003 1205306.405"
"7.03","504.5130","255 255 255","225","22","2561702.9850000003 1205306.405"
"7.03","506.7250","234 248 248","70","6","2561702.986 1205306.405"
"7.05","502.8680","176 201 211","106","22","2561703.004 1205306.391"
"7.06","505.1770","252 255 255","231","22","2561703.0110000004 1205306.384"
"7.08","508.1800","181 176 179","135","22","2561703.5420000004 1205306.604"
"7.22","495.9320","57 76 99","18","2","2561702.608 1205306.023"
"7.32","503.6190","197 221 227","92","22","2561702.963 1205306.073"
"7.32","503.6190","197 221 227","92","22","2561702.963 1205306.073"
"7.33","497.3200","164 191 207","86","22","2561702.973 1205306.067"
"7.34","500.4390","178 204 215","168","22","2561702.9760000003 1205306.063"
"7.36","498.1330","167 195 208","80","22","2561702.9910000004 1205306.05"
"7.36","498.1330","167 195 208","80","22","2561702.9910000004 1205306.05"
"7.36","509.9390","186 178 172","125","6","2561703.8340000003 1205306.43"
"7.37","507.0110","188 182 170","97","6","2561703.7580000004 1205306.388"
"7.38","496.1220","219 239 245","156","2","2561703.2210000004 1205306.128"
"7.41","495.9970","79 95 84","223","31","2561701.2920000004 1205305.229"
"7.42","501.0500","173 200 211","42","22","2561703.044 1205306.006"
"7.42","501.0500","173 200 211","42","22","2561703.044 1205306.006"
"7.44","505.5130","252 255 255","81","22","2561703.0620000004 1205305.992"
"7.48","501.7900","180 205 215","17","22","2561703.173 1205305.999"
"7.48","501.7900","180 205 215","17","22","2561703.173 1205305.999"
"7.5","504.0010","245 252 252","103","22","2561703.1130000004 1205305.952"
"7.54","495.9970","86 104 97","68","31","2561700.815 1205304.871"
"7.54","495.9970","86 104 97","68","31","2561700.815 1205304.871"
"7.56","509.8450","163 153 148","253","6","2561703.7860000003 1205306.188"
"7.64","507.0540","238 242 237","36","6","2561703.6180000002 1205306.028"
"7.7","495.9510","54 74 99","249","2","2561702.9110000003 1205305.633"
"7.75","507.0520","247 254 254","196","6","2561703.406 1205305.807"
"7.81","509.9420","117 116 125","55","6","2561703.9880000004 1205306.006"
"7.85","504.6550","250 255 255","111","22","2561703.315 1205305.658"
"7.85","504.6550","250 255 255","111","22","2561703.315 1205305.658"
"7.87","498.9690","216 237 242","79","22","2561703.3630000004 1205305.66"
"7.87","498.9690","216 237 242","79","22","2561703.3630000004 1205305.66"
"7.87","495.9970","60 78 93","77","31","2561702.1300000004 1205305.0960000001"
"7.88","506.6630","246 253 252","4","6","2561703.216 1205305.5760000001"
"7.97","501.8990","228 238 243","51","22","2561703.5300000003 1205305.618"
"7.97","501.8980","228 238 243","51","22","2561703.5300000003 1205305.617"
"7.99","501.8040","114 138 154","6","22","2561703.2610000004 1205305.475"
"8.01","509.9340","115 117 122","212","6","2561704.517 1205306.026"
"8.01","509.9340","115 117 122","212","6","2561704.517 1205306.026"
"8.11","508.4800","190 180 182","174","22","2561703.929 1205305.647"
"8.11","508.4800","190 180 182","174","22","2561703.929 1205305.647"
"8.16","507.0280","230 242 247","141","6","2561703.399 1205305.358"
"8.16","507.0280","230 242 247","141","6","2561703.399 1205305.357"
"8.31","504.6340","254 255 255","243","22","2561703.531 1205305.246"
"8.33","507.0170","243 252 250","155","6","2561703.6070000003 1205305.263"
"8.33","507.0170","243 252 250","155","6","2561703.6070000003 1205305.263"
"8.37","496.2100","165 191 204","161","2","2561703.642 1205305.236"
"8.37","496.2100","165 191 204","161","2","2561703.642 1205305.236"
"8.43","495.9200","118 147 172","199","2","2561703.25 1205304.986"
"8.43","495.9200","118 147 172","199","2","2561703.25 1205304.986"
"8.44","499.0460","172 198 209","248","22","2561703.702 1205305.189"
"8.44","499.0450","172 198 209","248","22","2561703.702 1205305.188"
"8.45","498.1360","177 207 218","164","22","2561703.413 1205305.038"
"8.49","498.9370","55 70 95","134","22","2561703.358 1205304.9710000001"
"8.5","495.9850","59 71 73","183","2","2561702.5 1205304.572"
"8.55","504.0060","244 255 255","73","22","2561703.494 1205304.9710000001"
"8.57","496.0260","89 108 100","133","31","2561701.5 1205304.04"
"8.58","507.9200","192 179 181","208","22","2561704.0590000004 1205305.192"
"8.79","501.7920","237 248 249","42","22","2561703.71 1205304.8"
"8.83","509.8330","171 159 149","210","6","2561704.115 1205304.938"
"8.84","496.0110","78 94 83","227","2","2561701.7010000004 1205303.834"
"8.91","509.9030","209 202 188","225","6","2561704.514 1205305.038"
"8.94","496.1330","192 220 230","40","31","2561703.69 1205304.631"
"8.95","507.0860","192 181 168","168","6","2561704.2780000004 1205304.888"
"8.98","498.9650","181 208 218","127","22","2561703.727 1205304.6"
"9.01","507.0500","87 102 116","46","6","2561703.591 1205304.502"
"9.01","509.9660","86 90 115","143","6","2561704.7180000003 1205305.019"
"9.02","495.9410","57 78 105","168","31","2561703.3830000004 1205304.4000000001"
"9.03","501.8000","248 253 254","245","22","2561703.8140000002 1205304.589"
"9.03","501.8000","248 253 254","245","22","2561703.8140000002 1205304.589"
"9.09","502.4750","246 253 253","69","22","2561703.821 1205304.523"
"9.16","499.2630","192 216 222","97","22","2561703.8850000002 1205304.475"
"9.28","496.0180","77 96 96","127","31","2561702.463 1205303.705"
"9.36","497.8400","152 175 188","203","22","2561703.7830000003 1205304.207"
"9.37","495.9410","57 75 102","210","2","2561703.588 1205304.107"
"9.38","495.9890","50 66 96","158","2","2561703 1205303.837"
"9.38","497.0520","172 199 212","9","22","2561703.794 1205304.198"
"9.38","505.5640","248 252 250","75","22","2561703.794 1205304.195"
"9.38","495.9890","50 66 96","158","2","2561703 1205303.837"
"9.38","497.0520","172 199 212","9","22","2561703.794 1205304.198"
"9.38","505.5640","248 252 250","75","22","2561703.794 1205304.195"
"9.38","500.2640","163 189 199","47","22","2561703.794 1205304.197"
"9.39","503.9270","250 255 255","199","22","2561703.8060000003 1205304.187"
"9.39","506.2080","248 252 250","197","22","2561703.804 1205304.185"
"9.4","501.0010","160 185 194","219","22","2561703.8140000002 1205304.182"
"9.42","503.1340","227 244 243","72","22","2561703.828 1205304.168"
"9.42","503.1340","227 244 243","72","22","2561703.828 1205304.168"
"9.48","507.0620","249 251 244","219","6","2561704.311 1205304.32"
"9.48","509.8330","193 189 184","15","6","2561704.163 1205304.2480000001"
"9.49","509.9210","207 200 182","195","6","2561704.7350000003 1205304.503"
"9.49","509.9210","207 200 182","195","6","2561704.7350000003 1205304.503"
"9.78","505.2680","249 254 252","122","22","2561703.9110000003 1205303.805"
"9.79","495.9560","62 80 106","121","31","2561703.696 1205303.698"
"9.79","495.9560","62 80 106","121","31","2561703.696 1205303.698"
"9.8","499.6970","138 163 176","112","22","2561703.926 1205303.795"
"9.8","499.6960","138 163 176","112","22","2561703.926 1205303.795"
"9.8","498.9340","175 201 214","105","22","2561703.929 1205303.7920000001"
"9.81","506.7030","246 251 249","216","6","2561703.936 1205303.783"
"9.81","506.7030","246 251 249","216","6","2561703.936 1205303.783"
"9.81","497.3360","150 174 188","60","22","2561703.9370000004 1205303.786"
"9.82","501.2160","173 199 206","25","22","2561703.949 1205303.776"
"9.82","501.2160","173 199 206","25","22","2561703.949 1205303.776"
"9.88","509.9410","96 100 106","184","6","2561705.1870000004 1205304.278"
"9.88","509.9410","96 100 106","184","6","2561705.1870000004 1205304.278"
"9.94","508.4650","193 184 180","141","22","2561704.5670000003 1205303.925"
"9.94","508.4650","193 184 180","141","22","2561704.5670000003 1205303.925"
"9.98","496.0130","91 111 105","55","31","2561702.5590000004 1205302.975"
"10.08","502.1140","70 85 101","67","22","2561704.0050000004 1205303.521"
"10.09","507.3070","194 181 182","63","6","2561704.696 1205303.82"
"10.15","507.0380","212 228 222","226","6","2561704.0930000003 1205303.482"
"10.18","500.6070","97 117 131","246","22","2561704.0900000003 1205303.449"
"10.29","496.0040","64 82 109","170","31","2561702.994 1205302.832"
"10.32","509.9750","190 181 163","81","6","2561704.9110000003 1205303.664"
"10.38","509.8480","190 185 169","146","6","2561704.7090000003 1205303.506"
"10.44","506.9930","254 255 255","223","6","2561704.078 1205303.158"
"10.47","499.3710","164 192 202","254","22","2561704.102 1205303.131"
"10.55","496.1670","82 103 125","10","3","2561703.378 1205302.719"
"10.55","496.1670","82 103 125","10","3","2561703.378 1205302.719"
"10.55","496.0520","64 82 97","33","18","2561702.3800000004 1205302.269"
"10.55","495.9700","50 67 90","224","31","2561703.983 1205302.991"
"10.61","503.4410","197 221 222","246","6","2561704.1500000004 1205303.003"
"10.67","509.9490","97 98 113","187","6","2561705.6500000004 1205303.621"
"10.74","501.6870","177 204 212","63","6","2561704.2040000004 1205302.886"
"10.76","509.9000","98 99 114","184","6","2561705.625 1205303.506"
"10.81","507.1840","198 172 153","48","6","2561705.23 1205303.2750000001"
"10.84","509.8600","202 206 200","188","6","2561704.665 1205302.9810000001"
"10.84","509.8600","202 206 200","188","6","2561704.665 1205302.981"
"10.86","505.0180","249 255 253","169","6","2561704.335 1205302.81"
"10.86","505.0180","249 255 253","169","6","2561704.335 1205302.81"
"10.86","498.8930","174 203 211","15","6","2561704.3320000004 1205302.815"
"10.98","508.0590","226 242 232","172","6","2561704.29 1205302.66"
"11.1","500.8360","174 201 210","216","6","2561704.3490000004 1205302.553"
"11.12","507.1910","205 181 160","72","6","2561705.355 1205302.992"
"11.12","509.9180","208 205 189","27","6","2561705.2970000003 1205302.969"
"11.15","508.4360","190 168 150","144","6","2561705.1210000003 1205302.847"
"11.19","507.0330","225 235 218","72","6","2561704.8630000004 1205302.69"
"11.2","508.2440","208 182 162","93","6","2561705.497 1205302.962"
"11.22","495.9940","90 107 94","68","31","2561702.9030000004 1205301.771"
"11.34","499.7100","72 90 107","113","6","2561704.4680000003 1205302.344"
"11.36","495.9450","54 70 96","79","2","2561703.785 1205302.013"
"11.36","495.9450","54 70 96","79","2","2561703.785 1205302.013"
"11.36","495.9390","55 73 93","119","18","2561704.4850000003 1205302.33"
"11.4","509.8300","231 240 223","94","6","2561705.294 1205302.66"
"11.4","509.8290","231 240 223","94","6","2561705.294 1205302.66"
"11.47","507.0250","212 226 211","227","6","2561704.702 1205302.312"
"11.47","507.0250","212 226 211","227","6","2561704.702 1205302.312"
"11.51","509.8480","187 201 198","251","6","2561706.085 1205302.888"
"11.52","496.9010","157 187 197","114","22","2561704.52 1205302.175"
"11.52","496.9010","157 187 197","114","22","2561704.52 1205302.175"
"11.58","504.2880","227 241 228","35","6","2561704.477 1205302.084"
"11.58","504.2880","227 241 228","35","6","2561704.477 1205302.084"
"11.6","498.8500","164 190 201","105","6","2561704.548 1205302.099"
"11.6","498.8500","164 190 201","105","6","2561704.548 1205302.099"
"11.6","496.0200","93 109 94","226","18","2561702.5 1205301.171"
"11.77","502.5380","211 233 235","118","6","2561704.662 1205301.966"
"11.77","502.5370","211 233 235","118","6","2561704.662 1205301.965"
"11.81","501.1870","81 91 100","188","6","2561704.612 1205301.9000000001"
"11.81","501.1870","81 91 100","188","6","2561704.612 1205301.9000000001"
"11.81","506.2830","222 238 226","181","6","2561704.696 1205301.935"
"11.85","507.0470","201 216 198","251","6","2561705.6530000004 1205302.323"
"11.86","495.9420","87 105 92","211","2","2561703.125 1205301.171"
"11.86","495.9420","87 105 92","211","2","2561703.125 1205301.171"
"11.97","495.7870","115 129 122","89","18","2561703.544 1205301.232"
"11.97","495.7870","115 129 122","89","18","2561703.544 1205301.232"
"12.01","505.3640","181 198 189","237","6","2561705.199 1205301.938"
"12.01","505.3640","181 198 189","237","6","2561705.199 1205301.938"
"12.03","508.1720","199 211 187","13","6","2561704.727 1205301.705"
"12.03","508.1720","199 211 187","13","6","2561704.727 1205301.705"
"12.05","507.0330","204 220 205","16","6","2561705.865 1205302.199"
"12.11","495.9840","144 150 106","4","2","2561703.023 1205300.854"
"12.11","495.7710","225 242 231","230","2","2561705.125 1205301.793"
"12.13","504.3440","208 228 234","207","6","2561705.9030000004 1205302.124"
"12.13","504.3440","208 228 234","207","6","2561705.9030000004 1205302.124"
"12.13","499.6670","98 114 115","39","6","2561703.771 1205301.1670000001"
"12.16","508.1480","229 237 209","104","6","2561704.744 1205301.567"
"12.16","508.1480","229 237 209","104","6","2561704.744 1205301.567"
"12.16","498.4170","62 81 105","193","6","2561703.73 1205301.114"
"12.19","498.5990","78 93 110","146","6","2561704.332 1205301.354"
"12.19","498.5980","78 93 110","146","6","2561704.3320000004 1205301.354"
"12.2","500.1360","46 63 93","118","6","2561704.111 1205301.2380000001"
"12.21","501.3600","111 129 132","215","6","2561703.94 1205301.155"
"12.23","501.3810","88 100 115","129","6","2561704.4680000003 1205301.371"
"12.23","501.3810","88 100 115","129","6","2561704.4680000003 1205301.371"
"12.26","497.7560","141 162 180","202","6","2561704.747 1205301.462"
"12.26","505.2250","163 191 188","213","6","2561704.648 1205301.422"
"12.26","497.7560","141 162 180","202","6","2561704.747 1205301.462"
"12.26","505.2250","163 191 188","213","6","2561704.648 1205301.422"
"12.27","499.2160","152 174 191","227","6","2561704.754 1205301.457"
"12.27","503.0470","174 203 205","105","6","2561704.75 1205301.459"
"12.28","504.2150","169 185 172","180","6","2561704.1210000003 1205301.16"
"12.29","501.5950","157 183 191","73","6","2561704.767 1205301.445"
"12.29","508.0550","231 239 231","135","6","2561705.6300000004 1205301.827"
"12.31","505.1530","111 120 100","17","6","2561703.8460000004 1205300.999"
"12.31","506.3310","193 208 196","178","6","2561705.1130000004 1205301.577"
"12.33","506.6560","170 183 169","63","6","2561704.673 1205301.3560000001"
"12.33","506.6560","170 183 169","63","6","2561704.673 1205301.356"
"12.34","505.5660","249 251 249","248","6","2561705.1410000003 1205301.557"
"12.37","495.7810","105 127 145","66","31","2561704.7060000002 1205301.327"
"12.37","501.7060","78 96 120","151","6","2561704.163 1205301.084"
"12.37","507.0350","246 250 241","189","6","2561705.088 1205301.499"
"12.38","508.1420","193 209 192","50","6","2561706.221 1205301.998"
"12.38","508.1420","193 209 192","50","6","2561706.2210000004 1205301.9980000001"
"12.38","499.6020","230 245 229","212","6","2561705.102 1205301.4880000001"
"12.38","504.2320","110 133 144","227","6","2561704.406 1205301.175"
"12.38","504.7850","255 255 255","54","6","2561705.507 1205301.678"
"12.4","495.7710","239 253 245","82","2","2561705.1210000003 1205301.474"
"12.4","504.2060","88 107 121","150","6","2561705.7600000002 1205301.769"
"12.42","502.3870","171 187 172","109","6","2561704.1720000003 1205301.03"
"12.42","502.3860","171 187 172","109","6","2561704.1720000003 1205301.029"
"12.44","500.1740","121 144 160","118","6","2561704.727 1205301.258"
"12.47","502.3260","142 153 136","16","6","2561704.71 1205301.215"
"12.47","505.3530","162 170 132","242","6","2561704.713 1205301.215"
"12.47","506.6500","177 193 189","16","6","2561706.2600000002 1205301.915"
"12.49","508.1730","112 123 123","59","6","2561705.446 1205301.53"
"12.49","508.1720","112 123 123","59","6","2561705.446 1205301.529"
"12.49","505.4460","186 211 220","30","6","2561706.49 1205301.999"
"12.54","504.9840","115 123 103","35","6","2561704.021 1205300.83"
"12.58","502.3140","121 133 115","15","6","2561703.7380000004 1205300.655"
"12.59","495.7430","91 115 133","114","2","2561703.835 1205300.687"
"12.59","504.1950","59 74 97","169","6","2561705.932 1205301.634"
